actor	status: initialised
actor	source	file:videos/No Man's Woman (1955) [oLiwhrvkMEU].webm
actor	next video index: 1
actor	seekable: false	duration: 4206721
actor	position	120175
actor	captured	0.006224s
actor	updated	0.006072s
actor	event id: 1000	time 0.0158063s
actor	event id: 2000	time 0.00728226s
actor	event id: 3000	time 0.00796838s
actor	event id: 4000	time 0.01269s
actor	event id: 5000	time 0.0112823s
actor	event id: 6000	time 0.00852666s
actor	event id: 7000	time 0.00670278s
actor	event id: 8000	time 0.00923657s
actor	event id: 9000	time 0.0058995s
actor	event id: 10000	time 0.00992441s
actor	event id: 11000	time 0.00670613s
actor	event id: 12000	time 0.00923488s
actor	event id: 13000	time 0.0152693s
actor	event id: 14000	time 0.00774946s
actor	event id: 15000	time 0.0147566s
actor	event id: 16000	time 0.0155512s
actor	event id: 17000	time 0.0247047s
actor	event id: 18000	time 0.0180764s
actor	event id: 19000	time 0.0112585s
actor	event id: 20000	time 0.0406327s
actor	event id: 21000	time 0.0160567s
actor	event id: 22000	time 0.0150613s
actor	event id: 23000	time 0.00882821s
actor	event id: 24000	time 0.0106602s
actor	event id: 25000	time 0.0142918s
actor	event id: 26000	time 0.00795461s
actor	event id: 27000	time 0.0117967s
actor	event id: 28000	time 0.0264623s
actor	event id: 29000	time 0.0566167s
actor	event id: 30000	time 0.0149309s
actor	event id: 31000	time 0.0102071s
actor	event id: 32000	time 0.00770308s
actor	event id: 33000	time 0.0117359s
actor	event id: 34000	time 0.00943938s
actor	event id: 35000	time 0.00672248s
actor	event id: 36000	time 0.00674109s
actor	event id: 37000	time 0.0113197s
actor	event id: 38000	time 0.0061172s
actor	event id: 39000	time 0.0169521s
actor	event id: 40000	time 0.0064685s
actor	event id: 41000	time 0.0118937s
actor	event id: 42000	time 0.0102213s
actor	event id: 43000	time 0.0126462s
actor	event id: 44000	time 0.0105147s
actor	event id: 45000	time 0.0125484s
actor	event id: 46000	time 0.0110466s
actor	event id: 47000	time 0.0188828s
actor	event id: 48000	time 0.00968377s
actor	event id: 49000	time 0.0178753s
actor	event id: 50000	time 0.00901944s
actor	event id: 51000	time 0.0203052s
actor	event id: 52000	time 0.0111813s
actor	event id: 53000	time 0.0150861s
actor	event id: 54000	time 0.0116687s
actor	source	file:videos/Pickup On South Street 1953 .E ab bn cr cs e f k sp tk [AmgEytYLH7A].webm
actor	next video index: 2
actor	seekable: false	duration: 4835401
actor	event id: 55000	time 0.013121s
actor	event id: 56000	time 0.00637955s
actor	event id: 57000	time 0.00708077s
actor	event id: 58000	time 0.00438415s
actor	event id: 59000	time 0.0100518s
actor	event id: 60000	time 0.00528295s
actor	event id: 61000	time 0.00578602s
actor	event id: 62000	time 0.00699747s
actor	event id: 63000	time 0.00580132s
actor	event id: 64000	time 0.00487108s
actor	event id: 65000	time 0.00938107s
actor	event id: 66000	time 0.00924652s
actor	event id: 67000	time 0.0132688s
actor	event id: 68000	time 0.00609581s
actor	event id: 69000	time 0.00444206s
actor	event id: 70000	time 0.00618935s
actor	event id: 71000	time 0.0109896s
actor	event id: 72000	time 0.00583948s
actor	event id: 73000	time 0.018483s
actor	event id: 74000	time 0.00317606s
actor	event id: 75000	time 0.0299806s
actor	event id: 76000	time 0.00604998s
actor	event id: 77000	time 0.00772682s
actor	event id: 78000	time 0.00508061s
actor	event id: 79000	time 0.00638606s
actor	event id: 80000	time 0.00506337s
actor	event id: 81000	time 0.00668999s
actor	event id: 82000	time 0.00480915s
actor	event id: 83000	time 0.00739203s
actor	event id: 84000	time 0.00523302s
actor	event id: 85000	time 0.0110558s
actor	event id: 86000	time 0.00763668s
actor	event id: 87000	time 0.0111211s
actor	event id: 88000	time 0.00835037s
actor	event id: 89000	time 0.009241s
actor	event id: 90000	time 0.011254s
actor	event id: 91000	time 0.0039469s
actor	event id: 92000	time 0.00536618s
actor	event id: 93000	time 0.0146741s
actor	event id: 94000	time 0.010004s
actor	event id: 95000	time 0.00686305s
actor	event id: 96000	time 0.0148086s
actor	event id: 97000	time 0.00608652s
actor	event id: 98000	time 0.011301s
actor	event id: 99000	time 0.00753061s
actor	event id: 100000	time 0.00799635s
actor	event id: 101000	time 0.00693939s
actor	event id: 102000	time 0.00652937s
actor	event id: 103000	time 0.00471904s
actor	event id: 104000	time 0.00494078s
actor	event id: 105000	time 0.00726637s
actor	event id: 106000	time 0.00669903s
actor	event id: 107000	time 0.00627904s
actor	event id: 108000	time 0.0205416s
actor	event id: 109000	time 0.00635936s
actor	event id: 110000	time 0.00684346s
actor	event id: 111000	time 0.0197984s
actor	event id: 112000	time 0.0117346s
actor	event id: 113000	time 0.00829376s
actor	event id: 114000	time 0.00313824s
actor	event id: 115000	time 0.00913639s
actor	event id: 116000	time 0.00863205s
actor	source	file:videos/Scarlet Street  (1945) Edward G. Robinson [RRLwI2xk__c].webm
actor	next video index: 3
actor	seekable: false	duration: 6100801
actor	event id: 117000	time 0.00678365s
actor	event id: 118000	time 0.0141699s
actor	event id: 119000	time 0.0136957s
actor	event id: 120000	time 0.0246123s
actor	event id: 121000	time 0.0579071s
actor	event id: 122000	time 0.0136237s
actor	event id: 123000	time 0.0160418s
actor	event id: 124000	time 0.00699053s
actor	event id: 125000	time 0.0111612s
actor	event id: 126000	time 0.00969321s
actor	event id: 127000	time 0.00713714s
actor	event id: 128000	time 0.0101325s
actor	event id: 129000	time 0.00593321s
actor	event id: 130000	time 0.00543473s
actor	event id: 131000	time 0.00697086s
actor	event id: 132000	time 0.00720585s
actor	event id: 133000	time 0.0069494s
actor	event id: 134000	time 0.00665993s
actor	event id: 135000	time 0.00767242s
actor	event id: 136000	time 0.00693676s
actor	event id: 137000	time 0.0078046s
actor	event id: 138000	time 0.00571688s
actor	event id: 139000	time 0.00759731s
actor	event id: 140000	time 0.0200237s
actor	event id: 141000	time 0.00735093s
actor	event id: 142000	time 0.00764584s
actor	event id: 143000	time 0.0110532s
actor	event id: 144000	time 0.00603671s
