actor	status: initialised
actor	source	file:videos/My Favorite Brunette 1947 (Comedy) Bob Hope & Dorothy Lamour [0OxS9F_kKoo].webm
actor	next video index: 33
actor	seekable: false	duration: 5255901
actor	position	120173
actor	captured	0.004593s
actor	updated	0.015161s
actor	event id: 1000	time 0.00742697s
actor	event id: 2000	time 0.017692s
actor	event id: 3000	time 0.0133153s
actor	event id: 4000	time 0.0106879s
actor	event id: 5000	time 0.00872185s
actor	event id: 6000	time 0.0109186s
actor	event id: 7000	time 0.0087775s
actor	event id: 8000	time 0.00796532s
actor	event id: 9000	time 0.00953885s
actor	event id: 10000	time 0.0072395s
actor	event id: 11000	time 0.00901239s
actor	event id: 12000	time 0.00988722s
actor	event id: 13000	time 0.009765s
actor	event id: 14000	time 0.0102702s
actor	event id: 15000	time 0.0142541s
actor	event id: 16000	time 0.0119367s
actor	event id: 17000	time 0.00996285s
actor	event id: 18000	time 0.0117838s
actor	event id: 19000	time 0.01298s
actor	event id: 20000	time 0.00759674s
actor	event id: 21000	time 0.0106719s
actor	event id: 22000	time 0.0138538s
actor	event id: 23000	time 0.0282792s
actor	event id: 24000	time 0.0273485s
actor	event id: 25000	time 0.0126928s
actor	event id: 26000	time 0.0132632s
actor	event id: 27000	time 0.0129865s
actor	event id: 28000	time 0.0122183s
actor	event id: 29000	time 0.0137621s
actor	event id: 30000	time 0.0201425s
actor	event id: 31000	time 0.00659014s
actor	event id: 32000	time 0.0074046s
actor	event id: 33000	time 0.00893893s
actor	event id: 34000	time 0.00933121s
actor	event id: 35000	time 0.00846429s
actor	event id: 36000	time 0.0107534s
actor	event id: 37000	time 0.00529979s
actor	event id: 38000	time 0.0124642s
actor	event id: 39000	time 0.0104323s
actor	event id: 40000	time 0.00732615s
actor	event id: 41000	time 0.0122305s
actor	event id: 42000	time 0.00819249s
actor	event id: 43000	time 0.0086168s
actor	event id: 44000	time 0.0120207s
actor	event id: 45000	time 0.00634987s
actor	event id: 46000	time 0.00917427s
actor	event id: 47000	time 0.012119s
actor	event id: 48000	time 0.0176193s
actor	event id: 49000	time 0.0079814s
actor	event id: 50000	time 0.0067854s
actor	event id: 51000	time 0.0238592s
actor	event id: 52000	time 0.0279952s
actor	event id: 53000	time 0.0422055s
actor	event id: 54000	time 0.0121691s
actor	event id: 55000	time 0.00744989s
actor	event id: 56000	time 0.0113708s
actor	event id: 57000	time 0.0145663s
actor	event id: 58000	time 0.0293176s
actor	event id: 59000	time 0.0183498s
actor	event id: 60000	time 0.0089957s
actor	event id: 61000	time 0.00907979s
actor	event id: 62000	time 0.010995s
actor	event id: 63000	time 0.0108804s
actor	event id: 64000	time 0.0143536s
actor	event id: 65000	time 0.0118183s
actor	event id: 66000	time 0.00879114s
actor	event id: 67000	time 0.00745497s
actor	event id: 68000	time 0.0132155s
actor	source	file:videos/Nightmare Alley 1947 Tyrone Power, Joan Blondell & Coleen Gray [DYQIgEP8E90].webm
actor	next video index: 34
actor	seekable: false	duration: 6699861
actor	event id: 69000	time 0.0122475s
actor	event id: 70000	time 0.0210603s
actor	event id: 71000	time 0.0152531s
actor	event id: 72000	time 0.00884996s
actor	event id: 73000	time 0.0085807s
actor	event id: 74000	time 0.0108159s
actor	event id: 75000	time 0.0216131s
actor	event id: 76000	time 0.0131263s
actor	event id: 77000	time 0.0112704s
actor	event id: 78000	time 0.0106082s
actor	event id: 79000	time 0.00888548s
actor	event id: 80000	time 0.0119673s
actor	event id: 81000	time 0.00985619s
actor	event id: 82000	time 0.0115922s
actor	event id: 83000	time 0.0193252s
actor	event id: 84000	time 0.0575161s
actor	event id: 85000	time 0.0347587s
actor	event id: 86000	time 0.0276109s
actor	event id: 87000	time 0.0265985s
actor	event id: 88000	time 0.0158896s
actor	event id: 89000	time 0.0691003s
actor	event id: 90000	time 0.0119487s
actor	event id: 91000	time 0.0136142s
actor	event id: 92000	time 0.0574336s
actor	event id: 93000	time 0.0305132s
actor	event id: 94000	time 0.0112838s
actor	event id: 95000	time 0.0083494s
actor	event id: 96000	time 0.00889913s
actor	event id: 97000	time 0.0112834s
