actor	status: initialised
actor	event id: 158000	time 0.00691077s
actor	event id: 159000	time 0.00730657s
actor	event id: 160000	time 0.00843188s
actor	event id: 161000	time 0.00412247s
actor	event id: 162000	time 0.006076s
actor	event id: 163000	time 0.0340388s
actor	event id: 164000	time 0.00461429s
actor	event id: 165000	time 0.0054652s
actor	event id: 166000	time 0.0344171s
actor	event id: 167000	time 0.00568219s
actor	event id: 168000	time 0.00550064s
actor	event id: 169000	time 0.00582715s
actor	event id: 170000	time 0.00561667s
actor	event id: 171000	time 0.00614194s
actor	event id: 172000	time 0.0119771s
actor	event id: 173000	time 0.00539633s
actor	event id: 174000	time 0.0103006s
actor	event id: 175000	time 0.00278914s
actor	source	file:videos/Brute Force 1947 Burt Lancaster & Howard Duff [FT-saMC8b4w].webm
actor	next video index: 19
actor	seekable: false	duration: 6049781
actor	event id: 176000	time 0.00984703s
actor	event id: 177000	time 0.0391381s
actor	event id: 178000	time 0.00874973s
actor	event id: 179000	time 0.00840551s
actor	event id: 180000	time 0.0225977s
actor	event id: 181000	time 0.0089417s
actor	event id: 182000	time 0.034798s
actor	event id: 183000	time 0.00692355s
actor	event id: 184000	time 0.0108954s
actor	event id: 185000	time 0.00977527s
actor	event id: 186000	time 0.0120291s
actor	event id: 187000	time 0.00709887s
actor	event id: 188000	time 0.0119374s
actor	event id: 189000	time 0.00736087s
actor	event id: 190000	time 0.00692899s
actor	event id: 191000	time 0.00836679s
actor	event id: 192000	time 0.00684889s
actor	event id: 193000	time 0.00607194s
actor	event id: 194000	time 0.00626475s
actor	event id: 195000	time 0.00624508s
actor	event id: 196000	time 0.00521028s
actor	event id: 197000	time 0.0080809s
actor	event id: 198000	time 0.0127843s
actor	event id: 199000	time 0.0083518s
actor	event id: 200000	time 0.00783608s
actor	event id: 201000	time 0.00776846s
actor	event id: 202000	time 0.00729916s
actor	event id: 203000	time 0.0164829s
actor	event id: 204000	time 0.013906s
actor	event id: 205000	time 0.00972068s
actor	event id: 206000	time 0.00693048s
actor	event id: 207000	time 0.00662105s
actor	event id: 208000	time 0.00605468s
actor	event id: 209000	time 0.00685497s
actor	event id: 210000	time 0.0543276s
actor	event id: 211000	time 0.0110258s
actor	event id: 212000	time 0.00692507s
actor	event id: 213000	time 0.00741259s
actor	event id: 214000	time 0.00623575s
actor	event id: 215000	time 0.00707706s
actor	event id: 216000	time 0.0107381s
actor	event id: 217000	time 0.0132158s
actor	event id: 218000	time 0.00639197s
actor	event id: 219000	time 0.00557765s
actor	event id: 220000	time 0.00726193s
actor	event id: 221000	time 0.00637283s
actor	event id: 222000	time 0.00788118s
actor	event id: 223000	time 0.00792535s
actor	event id: 224000	time 0.00730657s
actor	event id: 225000	time 0.0117962s
actor	event id: 226000	time 0.00823481s
actor	event id: 227000	time 0.013606s
actor	event id: 228000	time 0.008919s
actor	event id: 229000	time 0.00947921s
actor	event id: 230000	time 0.0583993s
actor	event id: 231000	time 0.00905808s
actor	event id: 232000	time 0.0132362s
actor	event id: 233000	time 0.0136705s
actor	event id: 234000	time 0.00974856s
actor	event id: 235000	time 0.00859972s
actor	event id: 236000	time 0.00508678s
actor	event id: 237000	time 0.00786621s
actor	event id: 238000	time 0.00809364s
actor	event id: 239000	time 0.0106729s
actor	event id: 240000	time 0.00766967s
actor	event id: 241000	time 0.00850749s
actor	event id: 242000	time 0.0075043s
actor	event id: 243000	time 0.0104307s
actor	event id: 244000	time 0.0082393s
actor	event id: 245000	time 0.0117978s
actor	event id: 246000	time 0.0169219s
actor	event id: 247000	time 0.00986023s
actor	event id: 248000	time 0.00663262s
actor	event id: 249000	time 0.0108896s
actor	event id: 250000	time 0.00994722s
actor	event id: 251000	time 0.00743686s
actor	event id: 252000	time 0.00773767s
actor	event id: 253000	time 0.00650552s
actor	event id: 254000	time 0.0266847s
actor	source	file:videos/Call Northside 777 1948 James Stewart, Richard Conte & Lee J Cobb [ze3vkF3U1HQ].webm
actor	next video index: 20
actor	seekable: false	duration: 6660221
actor	event id: 255000	time 0.0142014s
actor	event id: 256000	time 0.0213835s
actor	event id: 257000	time 0.0153588s
actor	event id: 258000	time 0.0101305s
actor	event id: 259000	time 0.00927295s
actor	event id: 260000	time 0.0140998s
actor	event id: 261000	time 0.00752952s
actor	event id: 262000	time 0.0114614s
actor	event id: 263000	time 0.00862271s
actor	event id: 264000	time 0.0118254s
actor	event id: 265000	time 0.00857423s
actor	event id: 266000	time 0.00704922s
actor	event id: 267000	time 0.00681033s
actor	event id: 268000	time 0.00664975s
actor	event id: 269000	time 0.00708774s
actor	event id: 270000	time 0.0190612s
actor	event id: 271000	time 0.0100382s
actor	event id: 272000	time 0.012109s
actor	event id: 273000	time 0.0163104s
actor	event id: 274000	time 0.00724578s
actor	event id: 275000	time 0.0204368s
actor	event id: 276000	time 0.00871407s
actor	event id: 277000	time 0.0158302s
actor	event id: 278000	time 0.011055s
actor	event id: 279000	time 0.0131806s
actor	event id: 280000	time 0.00802781s
actor	event id: 281000	time 0.031608s
actor	event id: 282000	time 0.0107627s
actor	event id: 283000	time 0.0101734s
actor	event id: 284000	time 0.008729s
actor	event id: 285000	time 0.00738024s
actor	event id: 286000	time 0.0097597s
actor	event id: 287000	time 0.0118482s
actor	event id: 288000	time 0.00583029s
actor	event id: 289000	time 0.0091399s
actor	event id: 290000	time 0.0104873s
actor	event id: 291000	time 0.016021s
actor	event id: 292000	time 0.0099803s
actor	event id: 293000	time 0.0122626s
actor	event id: 294000	time 0.00722934s
actor	event id: 295000	time 0.00848371s
actor	event id: 296000	time 0.00646144s
actor	event id: 297000	time 0.00744579s
actor	event id: 298000	time 0.00687567s
actor	event id: 299000	time 0.00979285s
actor	event id: 300000	time 0.0101398s
actor	event id: 301000	time 0.0142158s
actor	event id: 302000	time 0.0118963s
actor	event id: 303000	time 0.010593s
actor	event id: 304000	time 0.00980314s
actor	event id: 305000	time 0.0143431s
actor	event id: 306000	time 0.0161129s
actor	event id: 307000	time 0.0111292s
actor	event id: 308000	time 0.0153373s
actor	event id: 309000	time 0.00883313s
actor	event id: 310000	time 0.0119278s
actor	event id: 311000	time 0.0128764s
actor	event id: 312000	time 0.0135147s
actor	event id: 313000	time 0.0141675s
actor	event id: 314000	time 0.0211251s
actor	event id: 315000	time 0.017067s
actor	event id: 316000	time 0.0626247s
actor	event id: 317000	time 0.0166855s
actor	event id: 318000	time 0.0134742s
actor	event id: 319000	time 0.0556187s
actor	event id: 320000	time 0.0575075s
actor	event id: 321000	time 0.0137092s
actor	event id: 322000	time 0.0494794s
actor	event id: 323000	time 0.0560445s
